mm/dd, 2015:BON:spillpct (%), 2014:BON:spillpct (%), 2013:BON:spillpct (%), 2012:BON:spillpct (%), 2011:BON:spillpct (%), 2010:BON:spillpct (%)
5-Feb,0.228,0.399,11.594,0.382,0.33,0.522
6-Feb,0.237,0.64,17.043,0.392,0.349,0.518
7-Feb,0.217,0.858,8.74,0.369,0.357,0.512
8-Feb,0.202,0.86,9.334,0.361,0.273,0.506
9-Feb,0.243,0.859,8.351,0.409,0.255,0.493
10-Feb,2.777,0.697,8.446,0.391,0.309,0.5
11-Feb,9.714,0.417,10.221,0.379,0.343,0.509
12-Feb,9.984,0.467,10.949,0.379,0.33,0.527
13-Feb,4.957,0.521,10.048,0.382,0.392,0.513
14-Feb,0.987,0.397,10.506,0.339,0.525,0.525
15-Feb,3.585,0.346,12.178,0.397,11.181,0.557
16-Feb,4.744,0.411,8.914,0.378,1.09,0.543
17-Feb,34.181,0.36,11.823,0.409,19.156,0.521
18-Feb,48.455,0.357,15.06,0.461,10.761,0.538
19-Feb,42.891,0.37,13.273,0.441,1.832,0.533
20-Feb,49.972,0.398,11.569,0.385,0.294,0.545
21-Feb,44.618,0.473,11.761,0.437,0.308,0.541
22-Feb,43.135,0.436,8.268,0.431,0.318,0.448
23-Feb,44.447,0.467,6.252,0.567,0.301,0.229
24-Feb,42.11,0.461,6.089,0.679,0.281,0.77
25-Feb,0.254,0.471,0.842,0.862,0.326,0.545
26-Feb,0.494,0.467,8.797,0.714,0.329,0.65
27-Feb,0.538,0.617,4.9,0.658,0.305,1.166
28-Feb,0.524,0.775,5.434,0.618,0.35,1.154
Feb-29, NA, NA, NA,1.027, NA, NA
1-Mar,0.536,0.782,2.307,1.007,0.541,1.173
2-Mar,0.574,0.756,2.025,1.447,0.618,1.299
3-Mar,0.683,0.719,1.675,1.504,0.593,1.342
4-Mar,0.64,0.641,5.288,1.512,0.549,1.254
5-Mar,0.626,0.653,0.953,1.34,0.641,1.113
6-Mar,0.568,0.569,0.971,0.882,0.673,1.168
7-Mar,0.573,4.871,1.791,1.29,0.696,1.163
8-Mar,0.599,11.525,7.987,1.083,0.632,1.169
9-Mar,0.647,14.016,8.665,0.618,0.609,1.113
10-Mar,0.705,14.606,0.945,0.833,0.622,1.141
11-Mar,0.682,22.561,0.992,0.836,0.589,1.22
12-Mar,0.654,20.006,0.957,0.378,0.551,1.2
13-Mar,0.652,14.963,0.92,0.412,0.707,1.167
14-Mar,0.787,7.976,0.997,0.619,0.593,1.178
15-Mar,0.848,17.66,0.978,0.679,0.618,0
16-Mar,0.646,28.246,0.973,0.582,0.616,0
17-Mar,0.628,14.498,0.963,0.55,0.558,0.018
18-Mar,0.687,15.254,0.94,0.572,0.62,0.007
19-Mar,0.582,18.41,0.895,0.59,0.566,0
20-Mar,0.607,21.788,0.957,0.617,0.688,0
21-Mar,0.607,10.913,0.964,0.529,0.661,0
22-Mar,0.59,14.621,0.931,0.508,0.698,0.009
23-Mar,0.556,7.878,0.886,0.53,0.573,0
24-Mar,0.607,0.546,0.886,0.485,0.59,0.559
25-Mar,0.612,0.572,0.898,0.502,0.588,0.125
26-Mar,0.569,0.559,0.877,6.87,0.616,0
27-Mar,0.512,0.55,0.911,16.552,0.593,0
28-Mar,1.849,4.808,0.896,9.316,0.574,0
29-Mar,0,1.087,0.901,11.853,0.602,0.196
30-Mar,0.507,8.567,0.635,20.61,1.229,0.206
31-Mar,0.538,12.737,0.694,26.639,14.606,0
1-Apr,0.544,13.629,0.681,36.874,18.248,1.127
2-Apr,0.535,11.393,0.722,38.602,30.106,0.2
3-Apr,0.624,10.98,0.828,39.452,39.183,1.418
4-Apr,0.603,8.151,0.738,37.674,38.492,1.35
5-Apr,0.599,11.854,0.635,26.33,42.704,1.287
6-Apr,0.602,8.939,0.608,28.052,40.284,1.461
7-Apr,0.646,11.863,7.03,32.216,34.535,1.377
8-Apr,0.672,15.752,13.685,30.28,24.415,1.515
9-Apr,0.773,16.368,26.17,27.517,27.294,1.629
10-Apr,51.581,38.228,34.85,38.286,30.073,61.96
11-Apr,55.316,41.019,35.073,36.408,30.789,65.049
12-Apr,60.457,42.417,32.677,32.665,31.526,61.119
13-Apr,50.994,40.741,38.899,31.092,32.85,61.014
14-Apr,52.885,42.766,38.116,28.869,35.126,61.731
15-Apr,64.018,45.225,35.59,30.688,35.55,62.759
16-Apr,61.302,37.511,34.306,32.509,39.732,62.784
17-Apr,67.003,38.582,38.219,30.693,38.445,62.792
18-Apr,68.507,40.98,40.807,30.412,35.701,63.083
19-Apr,63.258,38.487,44.263,29.3,34.759,60.042
20-Apr,53.726,36.951,43.988,30.024,33.871,52.656
21-Apr,56.979,39.248,42.73,29.609,35.12,50.004
22-Apr,64.162,39.21,38.781,31.881,32.849,57.016
23-Apr,61.341,37.193,42.734,36.719,36.346,48.485
24-Apr,68.558,37.985,47.026,37.571,37.771,53.18
25-Apr,64.706,37.32,45.252,41.866,36.759,50.722
26-Apr,63.218,37.088,44.823,51.811,38.805,55.684
27-Apr,53.401,38.575,41.485,50.682,35.344,53.072
28-Apr,61.453,34.349,39.114,51.716,36.806,58.314
29-Apr,63.759,36.604,43.775,50.221,38.153,57.388
30-Apr,67.713,36.104,41.695,45.294,42.979,56.943
1-May,61.444,36.647,39.541,41.201,35.884,57.726
2-May,57.43,39.844,43.089,44.207,38.018,55.063
3-May,52.791,37.635,41.162,43.688,38.931,53.798
4-May,51.854,33.917,44.243,45.655,36.73,49.994
5-May,56.564,37.206,42.594,43.253,37.146,51.925
6-May,57.708,39.918,42.89,43.906,37.95,58.21
7-May,57.757,34.413,39.571,41.787,41.534,47.551
8-May,57.879,34.832,35.504,36.203,39.446,52.247
9-May,63.509,35.608,35.335,33.859,33.982,45.37
10-May,68.511,35.967,34.588,36.102,32.998,42.045
11-May,68.861,35.975,40.39,33.977,35.529,46.553
12-May,56.455,38.581,41.016,38.184,34.991,41.586
13-May,53.967,38.226,38.694,35.228,30.85,42.814
14-May,51.477,36.305,42.405,32.84,36.006,44.822
15-May,48.464,41.108,41.439,36.846,41.373,50.204
16-May,57.995,38.319,39.699,33.824,49.906,45.633
17-May,58.738,40.101,34.438,32.556,52.449,38.244
18-May,47.653,43.383,36.477,37.185,53.123,34.742
19-May,48.179,45.267,36.475,39.753,54.29,32.568
20-May,50,46.104,34.673,37.044,54.942,41.323
21-May,47.098,42.951,33.094,38.44,55.15,36.653
22-May,49.085,39.86,35.325,37.018,54.091,40.651
23-May,49.85,40.817,32.668,39.209,54.921,45.341
24-May,46.998,43.649,32.08,37.6,55.432,41.564
25-May,45.904,43.952,33.276,34.503,55.907,42.209
26-May,46.748,43.126,31.029,35.956,56.842,49.142
27-May,45.812,45.572,31.254,30.378,56.244,45.734
28-May,46.258,45.688,30.995,31.214,55.42,52.687
